REEF_ID,YEAR,DHW_MAX,SSTA_MAX
22144S,1995,0.17,1.59
21296S,1995,0.62,1.3800000000000001
21302S,1995,0.61,1.49
21305S,1995,0.46,1.53
21558S,1995,0.3,1.51
21562S,1995,0.0,1.29
21583S,1995,0.15,1.21
18053S,1995,4.0600000000000005,2.2
18065S,1995,4.1,2.08
18025S,1995,2.68,2.15
18026S,1995,3.2600000000000002,2.4
18029S,1995,3.24,2.61
18030S,1995,2.93,2.37
18031S,1995,2.99,2.45
18032S,1995,2.97,2.73
18042S,1995,2.88,2.27
18043S,1995,2.99,2.45
18073S,1995,3.2,2.5100000000000002
18074S,1995,2.47,2.15
18075S,1995,2.97,2.82
18076S,1995,2.81,2.45
18077S,1995,2.72,2.36
18078S,1995,3.25,2.83
18079S,1995,2.82,2.5300000000000002
18088S,1995,2.7,2.44
18091S,1995,1.54,2.06
18095S,1995,2.17,2.22
18096S,1995,2.16,2.29
